,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
1260,Battle of Mühldorf,"September 28, 1322","Ampfing Heath (?), Mühldorf",Bavarian Victory,Frederick the Fair,"1800 knights
& mercenaries","1400 knights,
Cuman cavalry
& mercenaries",R,,,,,,,D
1261,Battle of Ardnocher,10 August 1329,"near Horseleap, County Westmeath",MacGeoghegan victory,Thomas le Botiller,?,?,R,,,,,,,D
1262,Battle of Posada,"November 9, 1330 – November 12, 1330","Near the border between Transylvania and Wallachia, in present-day Romania.",Decisive Wallachian victory[1],Charles I of Hungary,"7,000-10,000[2]","30,000[2]",L,,,,,,,D
1263,Battle of Płowce,27 September 1331,"Płowce, Poland",Polish tactical victory,Władysław I the Elbow-high,"7,000","5,000",L,,,,,,,V
1264,Battle of Płowce,27 September 1331,"Płowce, Poland",Polish tactical victory,Dietrich von Altenburg,"5,000","7,000",R,,,,,,,D
1265,Battle of Halidon Hill,19 July 1333,"Halidon Hill, near Berwick-upon-Tweed",Decisive English victory,Archibald Douglas (died 1333),"9,000","13,000",L,,,,,,,D
1266,Battle of Cadsand,November 1337,"Cadzand, Flanders",English victory,"Walter Manny, 1st Baron Manny",Several Thousand,"3,500",L,,,,,,,V
1267,Battle of Cadsand,November 1337,"Cadzand, Flanders",English victory,"Guy, Bastard of Flanders","3,500",Several Thousand,R,,,,,,,D
1268,Battle of Parabiago,"February 20–21, 1339[1]","Parabiago, Lombardy
Coordinates: 45°33′N 08°51′E﻿ / ﻿45.550°N 8.850°E﻿ / 45.550; 8.850",Milanese victory,Luchino Visconti (died 1349),6.500,?,R,,,,,,,V
1269,Battle of Saint-Omer,26 July 1340,"Saint-Omer, Artois, France",French victory,"Odo IV, Duke of Burgundy","10,000-15,000 Flemings
1,000 English archers[1]","3,000",L,,,,,,,V
1270,Battle of Champtoceaux,14–16 October 1341,"Champtoceaux, Brittany",Franco-Breton victory,John of Montfort,"7,000+","Unknown, small",R,,,,,,,D
1271,Battle of Warns,26 September 1345,"Stavoren, Warns, Friesland","Victory for the Frisians, West Frisia not under Hollandic subjugation.","William II, Count of Hainaut",Unknown,Unknown,L,,,,,,,D
1272,Battle of Warns,26 September 1345,"Stavoren, Warns, Friesland","Victory for the Frisians, West Frisia not under Hollandic subjugation.",Frisians,Unknown,Unknown,R,,,,,,,V
1273,Battle of Crécy,26 August 1346,"Crécy-en-Ponthieu, Picardy, France
50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E﻿ / 50.257; 1.904Coordinates: 50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E﻿ / 50.257; 1.904",English victory,Edward III of England,"Contemporary sources:
72,000 - 100,000

15,000 crossbowmen [2]

Modern consensus:
30,000:[3]

6,000 crossbowmen
12,000 men-at-arms
12,000 infantry","Modern estimates:
~14,000:[1]

2,500 men-at-arms
5,000 longbowmen
3,000 hobelars
3,500 spearmen
5 ribauldequin",L,,,,,,,V
1274,Battle of Crécy,26 August 1346,"Crécy-en-Ponthieu, Picardy, France
50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E﻿ / 50.257; 1.904Coordinates: 50°15′25″N 1°54′14″E﻿ / ﻿50.257°N 1.904°E﻿ / 50.257; 1.904",English victory,Philip VI of France,"Modern estimates:
~14,000:[1]

2,500 men-at-arms
5,000 longbowmen
3,000 hobelars
3,500 spearmen
5 ribauldequin","Contemporary sources:
72,000 - 100,000

15,000 crossbowmen [2]

Modern consensus:
30,000:[3]

6,000 crossbowmen
12,000 men-at-arms
12,000 infantry",R,,,,,,,D
1275,Battle of Neville's Cross,17 October 1346,"Neville's Cross, west of Durham, England",English victory,David II of Scotland,"6,000-7,000","12,000",L,,,,,,,D
1276,Battle of Brignais,6 April 1362,"Brignais
45°40′N 4°45′E﻿ / ﻿45.667°N 4.750°E﻿ / 45.667; 4.750Coordinates: 45°40′N 4°45′E﻿ / ﻿45.667°N 4.750°E﻿ / 45.667; 4.750",Free company victory,"James I, Count of La Marche","15,000","12,000",L,,,,,,,D
1277,Battle of Nájera,3 April 1367,Nájera,Pyrrhic victory for Peter I,Peter of Castile,"Total: more than 4,500[1]
2,500 Castilian soldiers
1,000 elite French mercenaries
1,000 Aragonese soldiers
Footsoldiers (escuderos de pie)","Total: more than 10,000.[1]
6,000 elite European mercenaries
2,000 Aquitaine soldiers
1,000 English soldiers
800 Castilian soldiers
500 English Longbowmen
300 Navarrese soldiers
Troops from Majorca
Henry deserters and other Spanish followers of King Peter.",L,,,,,,,V
1278,Battle of Nájera,3 April 1367,Nájera,Pyrrhic victory for Peter I,Henry II of Castile,"Total: more than 10,000.[1]
6,000 elite European mercenaries
2,000 Aquitaine soldiers
1,000 English soldiers
800 Castilian soldiers
500 English Longbowmen
300 Navarrese soldiers
Troops from Majorca
Henry deserters and other Spanish followers of King Peter.","Total: more than 4,500[1]
2,500 Castilian soldiers
1,000 elite French mercenaries
1,000 Aragonese soldiers
Footsoldiers (escuderos de pie)",R,,,,,,,D
1279,Battle of Montiel,14 March 1369,"Montiel, La Mancha, Castile",Decisive Franco-Castilian victory,Henry II of Castile,~15000 troops,unknown,R,,,,,,,V
1280,Battle of North Walsham,25 or 26 June 1381,"near North Walsham, Norfolk, England",Bishop of Norwich's forces' victory,Henry le Despenser,unknown,unknown,L,,,,,,,V
1281,Battle of North Walsham,25 or 26 June 1381,"near North Walsham, Norfolk, England",Bishop of Norwich's forces' victory,Felmingham,unknown,unknown,R,,,,,,,D
1282,Battle of Roosebeke,27 November 1382,"Roosebeke (Westrozebeke), near Kortrijk, Belgium (At that time located in the County of Flanders)",French victory,Charles VI of France,"14,000","16,000",L,,,,,,,V
1283,Battle of Savra,18 September 1385,"Saurian field, near Lushnjë",Decisive Ottoman victory[1],Balša II,"40,000[2]",Unknown,R,,,,,,,D
1284,Battle of Pločnik,Sometime between 1385 and 1387[A],Pločnik,Decisive Serbian victory,Lazar of Serbia,"c. 2,000 Participated in battle 20,000 in total","c. 30,000",L,,,,,,,V
1285,Battle of Pločnik,Sometime between 1385 and 1387[A],Pločnik,Decisive Serbian victory,Lala Şahin Pasha,"c. 30,000","c. 2,000 Participated in battle 20,000 in total",R,,,,,,,D
1286,Battle of Bileća,"August 27th, 1388",Bileća,Decisive Bosnian victory[1],Vlatko Vuković,18.000,7.000,L,,,,,,,V
1287,Battle of Bileća,"August 27th, 1388",Bileća,Decisive Bosnian victory[1],Lala Şahin Pasha,7.000,18.000,R,,,,,,,D
1288,Battle of Casalecchio,26 June 1402,Casalecchio di Reno,Milanese victory,Alberico da Barbiano,unknown,unknown,L,,,,,,,V
1289,Battle of Casalecchio,26 June 1402,Casalecchio di Reno,Milanese victory,Muzio Sforza,unknown,unknown,R,,,,,,,D
1290,Battle of Bryn Glas,22 June 1402 (St Alban's Day),"Pilleth, Powys (2 miles south of Knighton) at grid reference SO253682",Welsh victory,Owain Glyndŵr,"2,000","1,500",L,,,,,,,V
1291,Battle of Homildon Hill,14 September 1402,"Wooler, Northumberland, England",Decisive English victory,"Archibald Douglas, 4th Earl of Douglas","15,000-20,000","10,000",L,,,,,,,D
1292,Battle of Pwll Melyn,Spring 1405,"Pwll Melyn, near Usk",Decisive English Victory,Gruffudd ab Owain Glyndŵr,?,?,L,,,,,,,D
1293,Battle of Pwll Melyn,Spring 1405,"Pwll Melyn, near Usk",Decisive English Victory,"Richard Grey, 4th Baron Grey of Codnor",?,?,R,,,,,,,V
1294,Battle of Tuiteam Tarbhach,1406?,"North bank of River Oykel
57°58′32″N 4°38′45″W﻿ / ﻿57.97556°N 4.64583°W﻿ / 57.97556; -4.64583Coordinates: 57°58′32″N 4°38′45″W﻿ / ﻿57.97556°N 4.64583°W﻿ / 57.97556; -4.64583",Decisive Mackay victory,"Angus Du Mackay, 7th of Strathnaver",Unknown,Unknown,L,,,,,,,V
1295,Battle of Othée,23 September 1408,"Othée, sub-municipality of Awans (present-day Belgium)",Burgundian victory,John the Fearless,"6,000 - 8,500","5,000 - 6,500",L,,,,,,,V
1296,Battle of Kherlen,"September 23, 1409",Kherlen River,Eastern Mongol victory,Öljei Temür Khan,"1,000 cavalry",Unknown,L,,,,,,,V
1297,Battle of Chalagan,"December, 1412","Near Chalagan, Azerbaijan",Kara Koyunlu victory,Qara Yusuf,"2,000 Georgians, unknown number of Shirvanese",Unknown,L,,,,,,,V
1298,Battle of Sudomer,25 March 1420,Southern Bohemia,Hussite victory,Bohuslav von Schwanberg,"400 infantry
12 war wagons","2,000 cavalry",R,,,,,,,D
1299,Battle of Německý Brod,10 January 1422,Deutschbrod (Havlíčkův Brod),Hussite victory,Jan Žižka,"2,000 cavalry",12 war wagons with 400 infantry,L,,,,,,,V
1300,Battle of Německý Brod,10 January 1422,Deutschbrod (Havlíčkův Brod),Hussite victory,Pippo Spano,12 war wagons with 400 infantry,"2,000 cavalry",R,,,,,,,D
1301,Battle of La Brossinière,26 September 1423,"La Brossinière, France",French victory,Ambroise de Loré,"2 000 soldiers
800 archers","6,000",L,,,,,,,V
1302,Battle of La Brossinière,26 September 1423,"La Brossinière, France",French victory,Thomas Aubourg,"6,000","2 000 soldiers
800 archers",R,,,,,,,D
1303,Siege of Orléans,"12 October 1428 – 8 May 1429
(6 months, 3 weeks and 5 days)","Orléans, France",Decisive French victory,"Thomas Montagu, 4th Earl of Salisbury","6,400 soldiers, 3,000 armed citizens[1]","5,000[1]",L,,,,,,,D
1304,Siege of Orléans,"12 October 1428 – 8 May 1429
(6 months, 3 weeks and 5 days)","Orléans, France",Decisive French victory,Jean de Dunois,"5,000[1]","6,400 soldiers, 3,000 armed citizens[1]",R,,,,,,,V
1305,Battle of Jargeau,11–12 June 1429,"Jargeau, France",French victory,"William de la Pole, 1st Duke of Suffolk","3,000","5,000",R,,,,,,,D
1306,Battle of Patay,18 June 1429,"Near Patay, slightly north of Orléans, France",French victory,La Hire,"5,000","1,500",L,,,,,,,V
1307,Battle of Patay,18 June 1429,"Near Patay, slightly north of Orléans, France",French victory,John Fastolf,"1,500","5,000",R,,,,,,,D
1308,Siege of Compiègne,18 June 1430,"Near Compiègne, south of Amiens, France",French victory,Joan of Arc,Unknown,Unknown,L,,,,,,,V
1309,Siege of Compiègne,18 June 1430,"Near Compiègne, south of Amiens, France",French victory,Philip the Good,Unknown,Unknown,R,,,,,,,D
1310,Battle of Domažlice,14 August 1431,"Domažlice (Taus), Bohemia",Decisive Hussite victory,Prokop the Great,"100,000 - 120,000","55,000",L,,,,,,,V
1311,Battle of Domažlice,14 August 1431,"Domažlice (Taus), Bohemia",Decisive Hussite victory,Julian Cesarini,"55,000","100,000 - 120,000",R,,,,,,,D
1312,Battle of Inverlochy (1431),September 1431,"Fort William, Scotland
grid reference NN126750 [1]
Coordinates: 56°49′53″N 5°5′6″W﻿ / ﻿56.83139°N 5.08500°W﻿ / 56.83139; -5.08500",Clan Donald victory,Domhnall Ballach,Unknown,Unknown,L,,,,,,,V
1313,Battle of Inverlochy (1431),September 1431,"Fort William, Scotland
grid reference NN126750 [1]
Coordinates: 56°49′53″N 5°5′6″W﻿ / ﻿56.83139°N 5.08500°W﻿ / 56.83139; -5.08500",Clan Donald victory,"Alexander Stewart, Earl of Mar",Unknown,Unknown,R,,,,,,,D
1314,Battle of Piperdean,10 September 1436,"Near Cockburnspath, Berwickshire, Scotland",Decisive Scottish victory,"Henry Percy, 2nd Earl of Northumberland","1,500-4,000","4,000",R,,,,,,,D
1317,Battle of Kruševac,"October 2, 1454",Kruševac,Serbian victory,Nikola Skobaljić,"32,000[2]","35,000-40,000",L,,,,,,,V
1320,Battle of Kruševac,"October 2, 1454",Kruševac,Serbian victory,Feriz Beg,"35,000-40,000","32,000[2]",R,,,,,,,D
1321,First Battle of St Albans,22 May 1455,"St Albans in Hertfordshire, England",Decisive Yorkist victory[1],Henry VI of England,"3,000[2]-7,000[2]","2,000[3]",R,,,,,,,D
1322,Battle of Ludford Bridge,12 October 1459,"By Ludford Bridge, south of Ludlow, in Shropshire, England[N 1]",Lancastrian victory,Henry VI of England,Unknown,Unknown,L,,,,,,,V
1323,Battle of Ludford Bridge,12 October 1459,"By Ludford Bridge, south of Ludlow, in Shropshire, England[N 1]",Lancastrian victory,"Richard of York, 3rd Duke of York",Unknown,Unknown,R,,,,,,,D
1324,Battle of Northampton (1460),10 July 1460,"Northampton in Northamptonshire, England
Coordinates: 52°14′12″N 0°53′36.8″W﻿ / ﻿52.23667°N 0.893556°W﻿ / 52.23667; -0.893556",Yorkist victory[1],Edward IV of England,unknown,unknown,L,,,,,,,V
1325,Battle of Northampton (1460),10 July 1460,"Northampton in Northamptonshire, England
Coordinates: 52°14′12″N 0°53′36.8″W﻿ / ﻿52.23667°N 0.893556°W﻿ / 52.23667; -0.893556",Yorkist victory[1],Henry VI of England,unknown,unknown,R,,,,,,,D
1326,Battle of Mortimer's Cross,2 February 1461,"Wigmore in Herefordshire, England",Decisive Yorkist victory[1],Edward IV of England,Unknown,Unknown,L,,,,,,,V
1327,Battle of Mortimer's Cross,2 February 1461,"Wigmore in Herefordshire, England",Decisive Yorkist victory[1],Owen Tudor,Unknown,Unknown,R,,,,,,,D
1328,Second Battle of St Albans,17 February 1461,"St Albans in Hertfordshire, England",Lancastrian victory,"Richard Neville, 16th Earl of Warwick","~15,000","~10,000",R,,,,,,,D
1329,Battle of Ferrybridge,28 March 1461,"Ferrybridge in Yorkshire, England
53°42′45″N 1°16′25″W﻿ / ﻿53.71250°N 1.27361°W﻿ / 53.71250; -1.27361Coordinates: 53°42′45″N 1°16′25″W﻿ / ﻿53.71250°N 1.27361°W﻿ / 53.71250; -1.27361",Indecisive,"Richard Neville, 16th Earl of Warwick",Unknown,Unknown,L,,,,,,,I
1330,Battle of Ferrybridge,28 March 1461,"Ferrybridge in Yorkshire, England
53°42′45″N 1°16′25″W﻿ / ﻿53.71250°N 1.27361°W﻿ / 53.71250; -1.27361Coordinates: 53°42′45″N 1°16′25″W﻿ / ﻿53.71250°N 1.27361°W﻿ / 53.71250; -1.27361",Indecisive,"John Clifford, 9th Baron Clifford",Unknown,Unknown,R,,,,,,,I
1332,Siege of Trebizond (1461),14 September 1460 -15 August 1461[1],"Trebizond, Empire of Trebizond","Ottoman victory;
Fall of the Empire of Trebizond",David of Trebizond,"60,000 cavalry,
80,000 infantry,
200 galleys, 10 warships [2]",Unknown,R,,,,,,,D
1333,Battle of Świecino,"September 17, 1462","Near Krokowa, Poland",Decisive Polish Victory,Fritz Raweneck,"2,000","2,700",L,,,,,,,D
1334,Battle of Świecino,"September 17, 1462","Near Krokowa, Poland",Decisive Polish Victory,Piotr Dunin,"2,700","2,000",R,,,,,,,V
1335,Battle of Zatoka Świeża,"September 15, 1463",Vistula Lagoon,Prussian–Polish victory,Ludwig von Erlichshausen,"30 ships
500 men","44 ships
1,500 men",R,,,,,,,V
1336,Battle of Hexham,15 May 1464,"Hexham in Northumberland, England",Decisive Yorkist victory,"Henry Beaufort, 3rd Duke of Somerset","3,000 - 4,000",Unknown,R,,,,,,,D
1337,Battle of Edgecote Moor,26 July 1469,"Danes Moor in Northamptonshire, England",Rebel victory,Robin of Redesdale,Unknown,Unknown,L,,,,,,,V
1338,Battle of Edgecote Moor,26 July 1469,"Danes Moor in Northamptonshire, England",Rebel victory,"William Herbert, 1st Earl of Pembroke (died 1469)",Unknown,Unknown,R,,,,,,,D
1339,Battle of Lipnic,"August 20, 1470","Lipnic, Moldova",Moldavian pyrrhic victory.,Stephen III of Moldavia,unknown,unknown,L,,,,,,,V
1340,Battle of Lipnic,"August 20, 1470","Lipnic, Moldova",Moldavian pyrrhic victory.,Ahmed Khan bin Küchük,unknown,unknown,R,,,,,,,D
1341,Battle of Lose-coat Field,12 March 1470,"Tickencote Warren near Empingham
Coordinates: 52°41′10″N 0°32′10″W﻿ / ﻿52.68611°N 0.53611°W﻿ / 52.68611; -0.53611",Royal Victory,Edward IV of England,"30,000",Unknown,L,,,,,,,V
1342,Battle of Lose-coat Field,12 March 1470,"Tickencote Warren near Empingham
Coordinates: 52°41′10″N 0°32′10″W﻿ / ﻿52.68611°N 0.53611°W﻿ / 52.68611; -0.53611",Royal Victory,"Robert Welles, 8th Baron Willoughby de Eresby",Unknown,"30,000",R,,,,,,,D
1343,Battle of Otlukbeli,11 August 1473,"Otlukbeli, Erzincan",Decisive Ottoman victory[1],Mehmed the Conqueror,Unknown,Unknown,L,,,,,,,V
1344,Battle of Otlukbeli,11 August 1473,"Otlukbeli, Erzincan",Decisive Ottoman victory[1],Uzun Hasan,Unknown,Unknown,R,,,,,,,D
1345,Siege of Shkodra (1474),Spring 1474 — 8 August 1474,"Shkodër, Albania Veneta
42°02′47″N 19°29′37″E﻿ / ﻿42.0465°N 19.4935°E﻿ / 42.0465; 19.4935Coordinates: 42°02′47″N 19°29′37″E﻿ / ﻿42.0465°N 19.4935°E﻿ / 42.0465; 19.4935",Victory of Venice and Zeta,Hadım Suleiman Pasha (governor of Rumelia),25.000,"50,000",L,,,,,,,D
1346,Battle of Valea Albă,"July 26, 1476","Războieni, present-day Romania",Ottoman victory[2],Mehmed the Conqueror,Unknown,"Unknown Ottoman troops
12,000 Wallachians troops[1]",L,,,,,,,V
1347,Battle of Valea Albă,"July 26, 1476","Războieni, present-day Romania",Ottoman victory[2],Stephen III of Moldavia,"Unknown Ottoman troops
12,000 Wallachians troops[1]",Unknown,R,,,,,,,D
1348,Battle of Bloody Bay,c. 1480 or 1483,"North end of the Sound of Mull, Scotland
grid reference NM4858
Coordinates: 56°39′N 6°7′W﻿ / ﻿56.650°N 6.117°W﻿ / 56.650; -6.117",Victory for Angus Og MacDonald,"John of Islay, Earl of Ross",Unknown,Unknown,L,,,,,,,D
1349,Battle of Bloody Bay,c. 1480 or 1483,"North end of the Sound of Mull, Scotland
grid reference NM4858
Coordinates: 56°39′N 6°7′W﻿ / ﻿56.650°N 6.117°W﻿ / 56.650; -6.117",Victory for Angus Og MacDonald,Aonghas Óg,Unknown,Unknown,R,,,,,,,V
1350,Battle of Stoke,16 June 1487,"East Stoke, Nottinghamshire, England
53°02′06″N 0°53′17″W﻿ / ﻿53.035°N 0.888°W﻿ / 53.035; -0.888Coordinates: 53°02′06″N 0°53′17″W﻿ / ﻿53.035°N 0.888°W﻿ / 53.035; -0.888",Decisive Tudor victory,Henry VII of England,"8,000","12,000",R,,,,,,,V
1351,Battle of Sauchieburn,11 June 1488,"south of Stirling
56°04′N 3°55′W﻿ / ﻿56.067°N 3.917°W﻿ / 56.067; -3.917Coordinates: 56°04′N 3°55′W﻿ / ﻿56.067°N 3.917°W﻿ / 56.067; -3.917",Decisive rebel victory,James III of Scotland,"18,000","30,000",L,,,,,,,D
1352,Battle of Sauchieburn,11 June 1488,"south of Stirling
56°04′N 3°55′W﻿ / ﻿56.067°N 3.917°W﻿ / 56.067; -3.917Coordinates: 56°04′N 3°55′W﻿ / ﻿56.067°N 3.917°W﻿ / 56.067; -3.917",Decisive rebel victory,James IV of Scotland,"30,000","18,000",R,,,,,,,V
1353,Battle of Codrii Cosminului,"October 26, 1497","Cosmin Forest, Moldavia (today in Chernivtsi Oblast, Ukraine)",Decisive Moldavian victory[1],Stephen III of Moldavia,"50,000 - 100,000[2]",Unknown,R,,,,,,,V
1354,Battle of Drumchatt,1497,"SE of Strathpeffer, Scotland
57°35′N 4°31′W﻿ / ﻿57.583°N 4.517°W﻿ / 57.583; -4.517Coordinates: 57°35′N 4°31′W﻿ / ﻿57.583°N 4.517°W﻿ / 57.583; -4.517
grid reference NH4957",Mackenzie & Munro victory,Hector Roy Mackenzie,Unknown,Unknown,L,,,,,,,V
1355,Battle of Lepanto (1500),1500,"Modon, Peloponnese",Ottoman victory,Kemal Reis,?,?,R,,,,,,,V
1356,Battle of Vedrosha,14 July 1500,"Vedrosha River, 50 km west of Kaluga",Decisive Russian victory[1],Konstanty Ostrogski,"40,000","40,000",L,,,,,,,D
1357,Battle of Vedrosha,14 July 1500,"Vedrosha River, 50 km west of Kaluga",Decisive Russian victory[1],Daniil Shchenya,"40,000","40,000",R,,,,,,,V
1358,Siege of Padua,15–30 September 1509,"Padua, present-day Italy",Venetian victory,Niccolò di Pitigliano,"40,000,
120–200 cannon","15,000",R,,,,,,,V
1359,Battle of Polesella,22 December 1509,"Polesella, present-day Italy
Coordinates: 44°58′N 11°47′E﻿ / ﻿44.97°N 11.79°E﻿ / 44.97; 11.79",Ferrarese victory,Ippolito d'Este,Unknown,Unknown,L,,,,,,,V
