,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
10490,Battle of Bosworth Field,22 August 1485,"Near Ambion Hill, south of Market Bosworth, Leicestershire, England","Decisive Tudor victory

Final overthrow of House of York
Last Yorkist monarch Richard III killed in action
Ascension of Tudor dynasty",Richard Ratcliffe,100[2],"5,000–8,000","7,500–12,000",L,unknown[1],
10491,Battle of Bosworth Field,,,,Richard Ratcliffe,100[2],"5,000–8,000","7,500–12,000",L,unknown[1],
10508,Battle of Stoke,16 June 1487,"East Stoke, Nottinghamshire, England
53°02′06″N 0°53′17″W﻿ / ﻿53.035°N 0.888°W﻿ / 53.035; -0.888Coordinates: 53°02′06″N 0°53′17″W﻿ / ﻿53.035°N 0.888°W﻿ / 53.035; -0.888",Decisive Tudor victory,Henry VII of England,"4,000","8,000","12,000",L,"Unknown, estimates range from 300-3,000",
10528,Battle of Granada,"February 1482 – January 2, 1492",Southeastern Iberia,Granada annexed by Castile,Ferdinand II of Aragon,,unknown,unknown,L,,
10579,Siege of Mirandola (1510),1510,"Mirandola, Emilia (present-day Italy)",Decisive Papal victory,Pope Julius II,Unknown,unknown,unknown,L,,
10596,Battle of Flodden Field,9 September 1513,"Near Branxton, Northumberland, England",English victory,Catherine of Aragon,"5,000–17,000[2][3]","30–40,000","26,000",L,"1,500[1]",
10613,Battle of Orsha,8 September 1514,"Orsha, Grand Duchy of Lithuania, present day Belarus
54°30′N 30°23′E﻿ / ﻿54.500°N 30.383°E﻿ / 54.500; 30.383Coordinates: 54°30′N 30°23′E﻿ / ﻿54.500°N 30.383°E﻿ / 54.500; 30.383",Lithuanian-Polish victory,Konstanty Ostrogski,"13,000-40.000 dead and wounded, at least 5,000 captured","12,000[5]
35,000-40,000[2]
80,000 men[3][4]
140 to 300 cannons","12,000[1]
25,000[2]
35,000 men[3][4]
300 cannons",L,Unknown,
10615,Battle of Chaldiran,23 August 1514,"Chaldiran, near Khoy, northwestern Iran","Decisive Ottoman victory[1]
Political stalemate[2]
Ottomans annex Eastern Anatolia and parts of Mesopotamia from the Safavids, as well as briefly what is modern-day northwestern Iran.[3]",Selim I,"Heavy losses[11]
or approximately 5,000 [13]","40,000[9][7]
or 55,000[10]
or 80,000[6]","60,000[5]
or 100,000[6][7]
100-150 cannon[8] or 200 cannon and 100 mortars[4]",L,"Heavy losses[11]
or less than 2,000 [12]",
10637,Battle of Marj Dabiq,24 August 1516[1],"Dabiq, near Aleppo, Mamluk Sultanate (modern Syria)[1]","Decisive Ottoman victory
Ottoman annexation of Syria",Al-Ashraf Qansuh Al-Ghuri,"13,000","65,000 soldiers, 50 cannons","80,000",R,"72,000",
10638,Battle of Yaunis Khan,"October 28, 1516",Khan Yunis,Ottoman victory[1],Hadım Sinan Pasha,,unknown,unknown,L,,
10644,Fall of Tenochtitlan,"May 26 – August 13, 1521 Julian Date (2 months, 2 weeks and 4 days)","Tenochtitlan, present-day Mexico City, Mexico","Decisive Spanish and Tlaxcallan victory

Fall of the Aztec Empire",Hernán Cortés,"100,000 warriors
100,000-200,000 civilians","80,000–300,000 warriors[2](including war acallis)","16 guns[1]
13 brigantines
80,000–200,000 native allies
90–100 cavalry
900–1,300 infantry[1]",L,"450–860 Spanish[1]
20,000 Tlaxcallan",
10654,Siege of Belgrade (1521),25 June - 29 August 1521,"Nándorfehérvár, Kingdom of Hungary (present-day Belgrade, Serbia)",Decisive Ottoman victory,Mihály Móré,,unknown,unknown,L,,
10658,Battle of Tunmen,April or May 1521,Tuen Mun,"Ming victory,
3 of 5 Portuguese ships managed to retreat with severe losses",汪鋐 - 维基百科，自由的百科全书,"2 Caravels abandoned
all junks abandoned","5 Caravels
Siamese and Patani Junks",50+ Junks,L,Unknown,
10669,Battle of Xicaowan,1522,Shan Tso Wan on Lantau Island,"Ming victory,
Portuguese forced to retreat with 4 of 6 ships intact","Martim Afonso de Melo Coutinho – Wikipédia, a enciclopédia livre",Unknown,Squadron of Junks and oar ships,"2 heavy carracks
2 small carracks
2 junks[1]
300 men[2]",R,"1 ship destroyed, 1 ship captured by Ming, 42 men captured (Some were executed on the spot)[3]",
10670,Siege of Edo,January 1524,"Edo castle, modern-day Tokyo",Hōjō victory,Hōjō Ujitsuna,,unknown,unknown,L,,
10673,Battle of the Sesia (1524),30 April 1524,"Near the Sesia River, Lombardy
(present-day Italy)",Decisive Imperial–Spanish victory[1][2],"Guillaume Gouffier, seigneur de Bonnivet",,unknown,unknown,L,,
10683,Battle of Pavia,24 February 1525,Pavia (in present-day Italy),Decisive Imperial–Spanish victory,Jacques de La Palice,500 dead or wounded,"19,000 infantry
4,000 cavalry
17 guns[2]","17,000 infantry
6,500 cavalry
53 guns[2]",L,"15,000 dead, wounded or captured",
10693,Battle of Mohács,29 August 1526,"Mohács, Kingdom of Hungary","Decisive Ottoman victory;
End of Ottoman-Hungarian Wars,
Start of Ottoman-Habsburg Wars,
Collapse and partitioning of Medieval Hungary",Malkoçoğlu Balı Bey,"~ 14,000 to 20,000+[6][7]","25,000–30,000 men[3][4]
80 guns (only 50 arrived on time)","55,000–70,000 men[2][3][4]
200 guns",L,"~ 1,500[5]",
10700,Siege of Kamakura (1526),December 1526,"Kamakura, Kanagawa",Uesugi victory,Satomi Sanetaka,,unknown,unknown,L,,
10712,Battle of Landriano,21 June 1529,"Landriano, Lombardy
(present-day Italy)",Decisive Imperial–Spanish victory[1][2],"Francis de Bourbon, Count of St. Pol",,unknown,unknown,L,,
10719,Siege of Florence (1529–30),24 October 1529 – 10 August 1530,"Florence, Italy",Imperial–Spanish victory,Francesco Ferruccio,,unknown,unknown,L,,
10773,Battle of Preveza,28 September 1538,"Preveza, Ionian Sea",Ottoman victory[a][1],Ferrante Gonzaga,"No loss of ship;
~400 dead;
~800 wounded.[2][3]","122 galleys and galliots,
12,000 soldiers.[2][3]","112 galleys,
50 galleons,
140 barques,
60,000 soldiers.[2][3]",L,"13 ships lost (10 ships sunk, 3 ships burned);
36 ships captured and seized by the Ottomans;
3,000 prisoners.[2][3]",
10776,Battle of Sahart,"April 24, 1541",Modern day Ethiopia,Adal victory,Gelawdewos,,unknown,unknown,L,,
10797,Battle of Azukizaka (1542),1542,"Azukizaka, Mikawa Province",Oda victory,Imagawa Yoshimoto,,unknown,unknown,L,,
10834,Battle of Serravalle (1544),2–4 June 1544[1][2],"Serravalle, Apennine Mountains
(present-day San Marino)",Decisive Imperial-Spanish victory[1],Piero Strozzi,,unknown,unknown,L,,
10873,Battle of Shirojiritoge,1548,"Shiojiritoge, Shinano Province",Takeda victory,Takeda Shingen,,unknown,unknown,L,,
10884,Siege of Eger,1552,"Eger, Northern Hungary",Hungarian victory,Hadım Ali Pasha of Buda,300-400 killed,"Approx 2,100-2,300[4]","In reality 35-40,000 men[1][2] (Gárdonyi's data: 150,000 and 200,000[3] is romantic exaggeration)",L,Unknown,
10901,Siege of Metz (1552),19 October 1552 - 2 January 1553,"Metz, France",French victory,"Charles V, Holy Roman Emperor","20,000[1]","6,000[1]","220,000[1]-55,000[2]",L,"20,000[1]",
10931,Battle of Renty,12 August 1554,"Renty, France",French victory[1],"Charles V, Holy Roman Emperor",,unknown,unknown,L,,
10975,Siege of Narva (1558),April - May 1558,"Narva, Livonian Confederation in modern Estonia",Russians capture Narva in July 1558.,Ivan Mikhailovich Viskovatyi,,unknown,unknown,R,,
10983,Battle of Spancel Hill,1559,"Spancel Hill, County Clare, Ireland",Victory for Sir Donnell O'Brien,"Connor O'Brien, 3rd Earl of Thomond",,unknown,unknown,L,,
10994,Siege of Marune,1560,Owari Province,Imagawa victory,Tokugawa Ieyasu,,unknown,unknown,L,,
11011,Siege of Moji,1561,"Moji, Japan",Mōri clan victory,Kobayakawa Takakage,,3 Portuguese ships,Unknown,L,,
11030,Battle of Nevel,"August 19, 1562","Nevel, in modern Russia",Polish tactical victory,Stanisław Leśniowolski,,unknown,unknown,L,,
11049,Siege of Orléans (1563),1563,Orleans,Precipitated the end of the conflict,François de Coligny d'Andelot,,unknown,unknown,L,,
11067,Battle of Azukizaka (1564),"January 15, 1564","Azukizaka, Mikawa Province",Matsudaira victory,Ikkō-ikki,,unknown,unknown,L,,
11108,Siege of Chittorgarh,20 October 1567–24 February 1568,Chittorgarh,Decisive victory for the Mughals.,Akbar,"8,000 soldiers
20–25,000 civilians","8,000 men",,L,,
11110,Battle of Digomi,1567,"Near Digomi, Tbilisi",Georgian victory,Simon I of Kartli,Unknown,unknown,unknown,L,"2,000",
11133,Battle of Catirai,"January 7, 1569","A steep wooded hill in Catirai, Chile",Mapuche Victory,Martín Ruiz de Gamboa,,unknown,unknown,L,,
11158,Siege of Chōkō-ji,1570,"Chōkōji Castle, Ōmi Province",Siege lifted.,Rokkaku Yoshisuke,,unknown,unknown,L,,
11165,Siege of Hanazawa,1570,"Hanazawa castle, Suruga province",Takeda victory,Takeda Shingen,,unknown,unknown,L,,
11169,Battle of Anegawa,30 July 1570,"Ane River, near Lake Biwa in Ōmi Province",Oda–Tokugawa victory.,Oda Nobunaga,,"18,000 [1]","28,000",L,,
11177,Siege of Fukazawa,1571,"Fukazawa, Suruga province",Takeda victory,Hōjō Tsunanari,,unknown,unknown,L,,
11179,Battle of Tonegawa,1571,Kozuke province,disengagement,Uesugi Kenshin,,unknown,unknown,L,,
11181,Battle of Bankusay Channel,"June 3, 1571","Bankusay Channel in Tondo, Manila, Philippines","Spanish victory
Tondo dissolved and became a territory under the Spanish Empire",Tarik Sulayman,,"27 vessels, 280 Spaniards, 600 native allies","40 caracoas (warships), around 2,000 warriors",L,,
11184,Battle of Tillieangus,10 October 1571,"White Hill of Tillyangus, Aberdeenshire, Scotland",Gordon victory,Adam Gordon of Auchindoun,,unknown,unknown,L,,
11196,Battle of Lepanto (1571),7 October 1571,"Gulf of Patras, Ionian Sea",Decisive Holy League victory,Müezzinzade Ali Pasha,"10,000 dead[8]
17 ships lost[9]","212 ships[3]

6 galleasses
206 galleys

28,500 soldiers[6]
40,000 sailors and oarsmen[3]
1,815 guns[7]","251 ships

206 galleys
45 galliots

31,490 soldiers
50,000 sailors and oarsmen
750 guns[7]",R,"40,000 dead, wounded or captured[8]
137 ships captured
50 ships sunk
12,000 Christians freed",
11204,Siege of Futamata,1572,"Futamata fortress, Tōtōmi Province, Japan",garrison surrenders; Takeda victory,Takeda Katsuyori,,unknown,unknown,L,,
11236,Siege of Iwamura,1572,"Iwamura Castle, Mino province, Japan",Castle falls; Akiyama victory,Akiyama Nobutomo,,unknown,unknown,L,,
11269,Siege of Itami (1574),1574,Itami castle,Oda Nobunaga victory,Oda Nobunaga,,unknown,unknown,L,,
11270,Battle of Nagashino,28 June 1575,"Nagashino, Mikawa Province, Japan","Decisive Oda–Tokugawa Victory, Takeda siege fails",Takeda Katsuyori,"less than 6000
Matsudaira Koretada","38,000","15,000",L,"Between 10,000 and 12,000 dead, incl. 54 samurai leaders
Takeda Nobuzane
Baba Nobufusa
Yamagata Masakage
Naitō Masatoyo
Tsuchiya Masatsugu
Hara Masatane
Sanada Nobutsuna
Sanada Masateru
Kasai Mitsuhide
Wada Narishige
Yonekura Shigetsugu",
11277,Siege of Mitsuji,May 1576,{{{place}}},Ikkō-ikki victory,Harada Naomasa,,unknown,unknown,R,,
11315,Siege of Kozuki,1578,"Kōzuki Castle, Harima Province",Siege succeeds; Mōri victory,Kobayakawa Takakage,,unknown,unknown,L,,
11322,Siege of Itami (1579),1579,"Itami castle, Settsu Province",Siege succeeds,Toyotomi Hideyoshi,,unknown,unknown,L,,
11337,Siege of Miki,1578-1580,"Miki, Harima Province",Siege succeeds,Toyotomi Hideyoshi,,unknown,unknown,L,,
11339,Siege of Takatenjin (1581),"1580 - March 22, 1581","Takatenjin fortress, Tōtōmi Province, Japan",Siege succeeds; Oda victory,Okabe Naganori,680 killed,5000,1000,L,680 killed,
11341,Siege of Tottori,May 1581,"Tottori Castle, Tamba Province (present-day Tottori, Tottori Prefecture, Japan)",Siege succeeds,Toyotomi Hideyoshi,,unknown,unknown,L,,
11349,Siege of Takamatsu,1582,"Takamatsu Castle, Bitchū Province",Siege succeeds,Toyotomi Hideyoshi,,"5,000","30,000",L,,
11390,Battle of Uchide-hama,1582,"Uchidehama, Japan",Toyotomi Hideyoshi victory,Akechi Mitsuhide,,unknown,unknown,L,,
11411,Battle of Zutphen,22 September 1586,"Zutphen, Guelders
(present-day the Netherlands)",Spanish victory,"Robert Dudley, 1st Earl of Leicester",,unknown,unknown,L,,
11493,Siege of Pyongyang (1592),"June 14, July 17, August 1, 1592",Pyongyang,Japanese victory,Gim Myeong-won,"June: unknown July: unknown
August: 100 killed","18,700","June: 4,000
July: 6,000
August: 20,000",R,"June: unknown July: 300+ killed
August: 300 killed, 450 wounded",
11503,Siege of Jinju (1592),"October 5–10, 1592","Jinju Fortress, Korea",Decisive Korean victory,Gim Si-min,"1000 - 10,300 killed or wounded[1]","20,000 - 30,000 soldiers","3,800 Jinju army
2,500 Righteous armies",R,"less than 1,000 killed or wounded",
11519,Battle of Haengju,"February 12, 1593[1]",Haengju Fortress,Decisive Korean victory,Gwon Ryul,1000+,"10,000 ~ 30,000","about 3,000",L,130 killed,
11599,Siege of Ulsan,"December 23, 1597 to January 4, 1598 (Chinese Calendar)","Ulsan Japanese Castle, Ulsan, Southern Korean Peninsula","Decisive Japanese Victory, Withdrawal of Korean and Ming Forces",Gwon Ryul,"over 1,120 dead[7]","Ulsan castle: 10,000[3][4]
Reinforcements: 13,000[5]","Korea: 11,500
China: 44,000[2]",L,"20,000 killed[6]",
11645,Battle of Sekigahara,"October 21, 1600","Sekigahara, present-day Gifu Prefecture",Decisive Tokugawa victory; beginning of Tokugawa shogunate,Toda Katsushige,"Unknown; but not excessive
Ii Naomasa (wounded)
Matsudaira Tadayoshi (wounded)","75,000 initially,[1]
88,888 by the time of battle[2]","120,000 initially,[1]
81,890 by the time of battle[2]",L,"5,000–32,000 dead
~23,000 defected",
11660,Operation MH - 2,8 March 2001,"Kumanovo, Lipkovo Macedonia","Operation stopped by Boris Trajkovski, Ljubco Georgievski and ""few foreign statesman""[1]

Macedonian forces regain control over most of Lipkovo-held NLA territory[2]
Macedonian forces continue counterinsurgency campaign:
Operation Vaksince[3]
Operation Rugjince[4]
Operation Arachinovo[5]",Ali Ahmeti,2 soldiers killed 1 captured[7] later released[8],"military: n/a
police:460 police",n/a,L,30[6] KLA killed,
11678,Operation Vaksince,25 May 2001,"Kumanovo, Lipkovo Macedonia","Decisive victory of Macedonian security forces[1]

Macedonian forces regain control over Vaksince territory[2]
Macedonian forces continue counterinsurgency campaign:
Operation Rugjince[3]
Operation Arachinovo[4]",Fadil Nimani,none,"military: n/a
police:n/a",n/a,L,Fadil Nimani[5],
11685,Battle for Vedeno (2001),"August 13, 2001 - ?","In and near Vedeno, Chechnya",?,Shamil Basayev,2-3 helicopters,unknown,unknown,R,?,
11686,Operation Crescent Wind,7 October 2001 – December 2001,Afghanistan,American/British victory,United States,"6,000+ killed total from Oct–Nov. 2001 (including casualties from the ground war)[1]",unknown,unknown,L,3 killed (friendly fire),
11690,Operation Rhino,"19–20 October 2001
(1 day)","Kandahar, Afghanistan",U.S. victory,Colonel,,Unknown,200 Army Rangers,L,"Few casualties, 2 killed in a helicopter crash while on standby for CSAR.",
11692,Battle of Mazar e Sharif,"9 November 2001 – 10 November 2001
(1 day)","Mazar-i-Sharif, Balkh Province, Afghanistan",Northern Alliance and American victory,Abdul Rashid Dostum,"300+ killed,[5]~500 captured and ~1,000 defected[6][7]",unknown,unknown,L,8 Junbish-i-Milli Islami[3] and 30 Jamiat-e Islami[4] fighters killed,
11698,Siege of Kunduz,"11 November 2001 – 23 November 2001
(1 week and 5 days)","Kunduz, Afghanistan","Tactical Northern Alliance and US victory;
Strategic failure, see Kunduz Airlift",Mohammed Daud Daud,"2,000 killed or wounded
3,500 captured [2]
5,000 evacuated by Pakistan through airlifting by the Pakistan Air Force[3]","10,000 Taliban
3,000 foreign fighters [1]","Unknown
 12 advisers",L,"Unknown
 None",
11704,Battle of Herat,"November 12, 2001","Herat, Afghanistan",Allied victory,Mohammad Mohaqiq,,,"Northern Alliance: 5,000",R,,
11705,Fall of Kabul,"13–14 November 2001
(1 day)","Kabul, Afghanistan",Northern Alliance/American victory.,Mohammed Fahim,"2,314 killed 646 wounded
1,345 captured","58,000","98,000",L,"528 killed
205 wounded",
11710,Fall of Kandahar,"22 November – 7 December 2001
(2 weeks and 1 day)","Kandahar, Afghanistan",Coalition victory,Gul Agha Sherzai,3 Americans killed,"800 Sharzai's militia
800 Eastern Alliance
750 Americans
150 Australians","800 Sharzai's militia
800 Eastern Alliance
750 Americans
150 Australians",L,3 Americans killed,
11736,Battle of Shawali Kowt,"December 3, 2001","Shawali Kowt, Arghandab River, Afghanistan",Coalition victory,Jason Amerine,,30-50[1],300,L,,
11737,Battle of Sayyd Alma Kalay,4 December 2001,"Sayyd Alma Kalay, Arghandab River, Afghanistan",Allied victory,Jason Amerine,,300,300,L,,
11758,Battle of Nasiriyah,23 March – 29 March 2003,"Nasiriyah, Iraq",Coalition victory,Ali Hassan al-Majid,"32 dead
60 wounded
6 captured
15+ vehicles
8 AAVs",unknown,unknown,L,"359–431 killed
300+ captured
1,000+ wounded[1]",
11805,Battle of Malakal,27–29 November 2006 (3 days),"Malakal, Southern Sudan Autonomous Region, Sudan",Ceasefire and mutual disengagement to pre-battle positions,Gabriel Tang,At least 4 killed[1],unknown,unknown,L,,
11810,Battle of Ras Kamboni,"January 5–12, 2007","Near Ras Kamboni, Somalia",Islamist defeat,Sharif Sheikh Ahmed,"Around 60 dead, 100 wounded in airstrikes[3]",unknown,unknown,L,"Around 60 dead, 100 wounded in airstrikes[3]",
11823,Operation Law and Order,"May 2, 1988 – May 4, 1988","Maidun, Lebanon",Israeli victory,Yossi Peled,"50 killed
1 captured",unknown,unknown,L,"3 killed
17 wounded",
11856,Operation Hot Winter,"February 28 – March 3, 2008","Gaza
 Southern Israel",Israeli success (according to the IDF)[1],Ehud Olmert,"112 killed (52 civilians),
350 wounded[3]",unknown,unknown,L,"3 killed (1 civilian),
8 wounded [2]",
11873,Battle of Vidattaltivu,"July 16, 2008",20 km North of Mannar,,Sarath Fonseka,,unknown,unknown,L,,
11895,2008–09 Battle of Kilinochchi,23 November 2008 – 2 January 2009,"Kilinochchi, Northern Sri Lanka",Decisive Sri Lankan Army victory,Sarath Fonseka,Unknown,unknown,unknown,L,Unknown,
11957,Battle of Aanandapuram,29 March – 5 April 2009[1],"Aanandapuram, Sri Lanka",Decisive Sri Lankan Army victory,Bhanu (Tamil militant),,"Sri Lanka Army:
58 Division
53 Division
Task Force 8[2]",?,R,625[4],
11969,Battle of Puthukkudiyirippu,"April 2–5, 2009[1]","Puthukkudiyirippu, Sri Lanka",Sri Lankan Army victory,Bhanu (Tamil militant),,"Sri Lanka Army:
58 Division
53 Division
Task Force 8[2]",?,R,420[1],
11970,Battle of Am Dam,"May 7, 2009","Am Dam, Chad
12°16′00″N 20°49′00″E﻿ / ﻿12.266667°N 20.81667°E﻿ / 12.266667; 20.81667",Chadian victory,Timane Erdimi,"22 killed
112 captured[1]",unknown,unknown,L,"50-226 killed
67 captured",
